#x,y,z,f,dx,dy,dz,k,s
1.447652,0.003799,0.973770,1000.000000,-0.521274,-0.521274,0.675682,1.000000,0.170379
2.195652,0.003799,1.571770,1000.000000,-0.702809,-0.070132,-0.707913,1.000000,0.177963
0.801166,0.003488,0.200041,1000.000000,0.163597,0.126640,-0.978365,1.000000,0.153246
1.823652,0.003799,0.202770,1000.000000,0.713874,-0.046289,-0.698743,1.000000,0.177963
0.247652,0.003799,0.802770,1000.000000,-0.702402,-0.058707,-0.709356,1.000000,0.163726
1.228652,0.003799,1.008770,1000.000000,0.742424,-0.478038,0.469347,1.000000,0.153246
0.421652,0.003799,1.351770,1000.000000,-0.307945,-0.778860,0.546395,1.000000,0.134059
1.804652,0.026201,1.752770,1000.000000,-0.315919,-0.422211,-0.849666,1.000000,0.118535
0.422652,0.003799,1.989770,1000.000000,0.502742,-0.053682,-0.862768,1.000000,0.149806
0.406652,0.003799,2.214770,1000.000000,0.752542,-0.633184,-0.180990,1.000000,0.177963
1.236652,0.003799,2.849770,1000.000000,0.630990,-0.200287,-0.749491,1.000000,0.150000
1.780652,0.003799,3.352770,1000.000000,-0.333507,0.000000,-0.942748,1.000000,0.177963
