#x,y,z,f,dx,dy,dz,k,s
1.409652,0.003799,1.780770,1000.000000,0.666411,-0.117506,-0.736266,1.000000,0.163726
1.409652,0.003799,1.396770,1000.000000,-0.370544,-0.539144,-0.756321,1.000000,0.163726
0.785652,0.003799,2.658770,1000.000000,-0.267238,0.000000,-0.963631,1.000000,0.146075
0.621652,0.003799,1.006770,1000.000000,0.267664,-0.853580,0.446941,1.000000,0.163726
0.439652,0.003799,0.802770,1000.000000,0.606361,-0.417173,-0.676974,1.000000,0.163726
0.832652,0.003799,1.783770,1000.000000,0.014053,-0.049269,-0.998687,1.000000,0.141444
0.832652,0.003799,1.373770,1000.000000,0.000000,-0.000000,-1.000000,1.000000,0.141444
1.400652,0.003799,1.960770,1000.000000,-0.689297,-0.191159,-0.698804,1.000000,0.177963
0.269652,0.038201,3.206769,1000.000000,-0.616498,-0.473056,-0.629403,1.000000,0.177963
1.028652,0.003799,0.201770,1000.000000,-0.000902,0.061021,-0.998136,1.000000,0.141444
0.609652,0.003799,2.487770,1000.000000,-0.410489,0.000000,-0.911866,1.000000,0.146075
